#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
599;B1309-12;13:11:52.6;-12:28:01.6;2.234548;-7.533e-16;2.30;6.65e+31;
600;J1311-3430;13:11:45.7;-34:30:30.3;390.568393;-3.198e-15;3.72;4.93e+34;
601;J1312+0051;13:12;+00:51;236.406619;*;1.15;*;
602;B1310+18;13:12:55;+18:10;30.153936;*;17.20;*;
603;B1309-53;13:12:04.6;-54:02:42;1.373335;-2.791e-16;9.65;1.51e+31;
604;B1309-55;13:12:53.8;-55:16:47.1;1.177529;-7.912e-15;6.75;3.68e+32;
605;J1312-6400;13:12:07.1;-64:00:55.6;0.410268;-1.150e-16;2.21;1.86e+30;
606;J1313+0931;13:13:23.0;+09:31:56;1.177950;-1.110e-15;0.78;5.16e+31;
607;J1314-6101;13:14:23.4;-61:01:16;0.339168;-1.346e-15;9.60;1.80e+31;
608;J1316-6232;13:16:46.3;-62:32:12.2;2.916937;-4.507e-14;30.00;5.19e+33;
609;J1317-5759;13:17:46.2;-57:59:30.5;0.378473;-1.799e-15;5.55;2.69e+31;
610;J1317-6302;13:17:44.6;-63:02:52.2;3.827450;-1.500e-15;30.00;2.27e+32;
611;B1316-60;13:19:20.2;-60:56:46.6;3.516775;-1.888e-14;12.64;2.62e+33;
612;J1319-6105;13:19:26.3;-61:05:26.2;2.374631;-8.465e-15;14.88;7.94e+32;
613;J1320-3512;13:20:12.6;-35:12:26.0;2.181080;-9.039e-18;0.93;7.78e+29;
614;B1317-53;13:20:53.9;-53:59:06.3;3.574887;-1.183e-13;4.23;1.67e+34;
615;J1320+67;13:20;+67:30;0.972176;*;2.33;*;
616;J1321-5922;13:21:39.5;-59:22:52.1;0.781826;-1.449e-15;30.00;4.47e+31;
617;B1322+83;13:21:46.1;+83:23:38.9;1.492454;-1.261e-15;0.77;7.43e+31;
618;J1322-62;13:22:54;-62:51;0.957074;*;30.00;*;
619;J1322-6241;13:22:32.1;-62:41:53.5;1.976056;-1.010e-14;19.91;7.88e+32;
620;J1322-6329;13:22:18.0;-63:29:37;0.361767;-1.450e-15;30.00;2.07e+31;
621;J1324-6146;13:24:43.9;-61:46:00;1.184682;-7.831e-15;30.00;3.66e+32;
622;J1324-6302;13:24:13.6;-63:02:21.1;0.402608;-1.587e-16;11.03;2.52e+30;
623;B1323-58;13:26:58.2;-58:59:29.1;2.092090;-1.417e-14;3.00;1.17e+33;
624;B1323-63;13:26:32.6;-64:08:44;1.261559;-4.939e-15;15.70;2.46e+32;
625;B1322-66;13:26:03.2;-67:00:51;1.841592;-1.801e-14;8.50;1.31e+33;
626;J1327-0755;13:27:57.5;-07:55:29.8;373.423704;-2.472e-15;2.17;3.64e+34;
627;B1323-62;13:27:17.4;-62:22:44.6;1.887102;-6.723e-14;4.00;5.01e+33;
628;B1323-627;13:27:07.4;-63:01:15.3;5.089611;-3.962e-14;6.50;7.96e+33;
629;J1327-6400;13:27:10.2;-64:00:13.1;3.562802;-3.958e-13;30.00;5.57e+34;
630;B1325-43;13:28:06.4;-43:57:44.1;1.877233;-1.062e-14;2.29;7.87e+32;
631;B1325-49;13:28:33.5;-49:21:33.4;0.676260;-2.790e-16;7.78;7.45e+30;
632;J1329-6158;13:29:03.3;-61:58:59;0.638889;-1.384e-14;8.11;3.49e+32;
633;J1331-5245;13:31:00.0;-52:45:25.4;1.542932;-1.214e-15;10.50;7.40e+31;
634;J1332-03;13:32;-03:26;0.903832;*;2.07;*;
635;J1332-3032;13:32:52.4;-30:32:17.3;1.537434;-1.324e-15;0.87;8.04e+31;
636;J1333-4449;13:33:44.8;-44:49:26.2;2.893494;-4.521e-18;2.32;5.16e+29;
637;J1334-5839;13:34:30.1;-58:39:16.5;9.283481;-1.861e-15;3.89;6.82e+32;
638;J1335-3642;13:35:36;-36:42;2.505060;*;4.11;*;
639;J1337-6306;13:37:20.3;-63:06:23.3;4.808779;-8.228e-15;16.01;1.56e+33;
640;J1337-6423;13:37:31.8;-64:23:04.9;106.118735;-2.780e-16;6.30;1.16e+33;
641;B1334-61;13:38:09.3;-62:04:18.7;0.807109;-9.025e-15;8.16;2.88e+32;
642;J1339-4712;13:39:56.5;-47:12:05.5;7.296359;-2.822e-17;1.77;8.13e+30;
643;J1339-6618;13:39:56.6;-66:18:07.8;1.791539;-1.123e-15;7.62;7.95e+31;
644;B1336-64;13:40:00.3;-64:56:42.9;2.641156;-3.524e-14;1.92;3.67e+33;
645;J1341-6023;13:41:07.3;-60:23:34.7;1.594171;-4.946e-14;7.03;3.11e+33;
646;B1338-62;13:41:42.6;-62:20:20.7;5.172242;-6.771e-12;8.55;1.38e+36;
647;J1342+2822A;13:42:11;+28:22:32;392.927308;*;9.90;*;
648;J1342+2822B;13:42:11.0;+28:22:40.1;418.511473;-3.254e-15;9.90;5.38e+34;
649;J1342+2822C;13:42:11;+28:22:32;461.680517;*;9.90;*;
650;J1342+2822D;13:42:10.2;+28:22:36;183.723050;*;9.90;*;
651;J1344-6059;13:44:39.6;-60:59:31;1.851501;-1.474e-16;7.17;1.08e+31;
652;J1345-6115;13:45:44.4;-61:15:30.6;0.798031;-2.070e-15;5.87;6.52e+31;
653;J1346-4918;13:46:22.3;-49:18:07.2;3.337504;-3.899e-16;3.90;5.14e+31;
654;J1347-5947;13:47:19.3;-59:47:39.8;1.639447;-3.806e-14;6.54;2.46e+33;
655;J1348-6307;13:48:42.4;-63:07:04;1.077851;-4.400e-15;8.18;1.87e+32;
656;J1349-6130;13:49:36.6;-61:30:17.1;3.855602;-7.619e-14;5.82;1.16e+34;
657;J1349-63;13:49:18;-63:56;2.680721;*;8.04;*;
658;J1350-5115;13:50:16.1;-51:15:24.7;3.381815;-8.607e-15;4.52;1.15e+33;
659;J1352-6803;13:52:34.4;-68:03:37.1;1.590071;-3.120e-15;14.24;1.96e+32;
660;J1354-6249;13:54:35;-62:49:30;0.338760;-1.698e-15;5.62;2.27e+31;
661;B1352-51;13:55:58.6;-51:53:53.8;1.552069;-6.776e-15;6.47;4.15e+32;
662;J1355-5747;13:55:36.9;-57:47:15;0.490515;-1.720e-16;7.58;3.33e+30;
663;J1355-5925;13:55:59.1;-59:25:00.9;0.824143;-4.066e-15;8.43;1.32e+32;
664;J1355-6206;13:55:21.3;-62:06:20.1;3.615289;-4.052e-17;7.95;5.78e+30;
665;J1356-5521;13:56:50.5;-55:21:12.9;1.970911;-2.810e-15;8.75;2.19e+32;
666;B1353-62;13:57:25;-62:28;2.194132;*;6.94;*;
667;J1357-6429;13:57:02.4;-64:29:30.2;6.020168;-1.305e-11;4.09;3.10e+36;
668;J1358-2533;13:58:42;-25:33;1.095325;*;3.08;*;
669;B1356-60;13:59:58.2;-60:38:08.0;7.843089;-3.899e-13;5.00;1.21e+35;
670;J1400-1438;14:00:30.3;-14:38:14.4;324.229698;-0.000e+00;0.27;*;
671;J1400-6325;14:00:45.6;-63:25:42.6;32.070194;-4.001e-11;7.00;5.07e+37;
672;B1358-63;14:01:52.4;-63:57:45.5;1.186536;-2.355e-14;1.80;1.10e+33;
673;B1359-51;14:02:57;-51:24;0.724545;*;1.52;*;
674;J1403-6310;14:03:14.0;-63:10:27;2.505197;-5.648e-16;6.14;5.59e+31;
675;J1403-7646;14:03:04.1;-76:46:57.5;0.765581;-7.057e-16;7.03;2.13e+31;
676;J1404+12;14:04:40;+12:03;0.377320;*;1.90;*;
677;J1405-4656;14:05:21.4;-46:56:02.3;131.540810;-4.828e-16;0.74;2.51e+33;
678;J1405-5641;14:05:12.4;-56:41:24.2;1.619237;-3.140e-15;21.30;2.01e+32;
679;J1406-5806;14:06:01.2;-58:06:32;3.468017;-7.349e-15;6.73;1.01e+33;
680;J1406-6121;14:06:50.0;-61:21:27.9;4.693191;-1.205e-12;9.11;2.23e+35;
681;J1407-6048;14:07:58.6;-60:48:58.8;2.031099;-1.302e-14;9.70;1.04e+33;
682;J1407-6153;14:07:56.5;-61:53:59;1.425283;-1.797e-14;9.75;1.01e+33;
683;J1409-6953;14:09:16.9;-69:53:34.4;1.891823;-3.006e-15;12.60;2.25e+32;
684;J1410-6132;14:10:24;-61:32;19.979243;-1.277e-11;30.00;1.01e+37;
685;J1410-7404;14:10:07.3;-74:04:53.3;3.587709;-8.675e-17;2.15;1.23e+31;
686;J1412-6111;14:12:59.6;-61:11:30.5;1.889800;-6.830e-15;5.95;5.10e+32;
687;J1412-6145;14:12:07.6;-61:45:28.8;3.172338;-9.929e-13;9.32;1.24e+35;
688;J1412+7922;14:12:55.8;+79:22:03.7;16.892402;-1.141e-16;*;7.61e+31;
689;J1413-6141;14:13:09.8;-61:41:13;3.501099;-4.087e-12;11.00;5.65e+35;
690;J1413-6205;14:13:29.9;-62:05:38;9.112390;-2.298e-12;*;8.27e+35;
691;J1413-6222;14:13:05.4;-62:22:27.8;3.419883;-2.607e-14;27.74;3.52e+33;
692;B1409-62;14:13:31.3;-63:07:35.4;2.531993;-4.766e-14;3.68;4.76e+33;
693;J1414-6802;14:14:25.7;-68:02:58;0.215974;-2.981e-16;6.60;2.54e+30;
694;J1415-6621;14:15:31.2;-66:21:12.2;2.547907;-3.765e-15;14.40;3.79e+32;
695;J1416-5033;14:16:44.6;-50:33:17;1.258048;-1.899e-16;1.99;9.43e+30;
696;J1416-6037;14:16:30.5;-60:37:59.5;3.383173;-4.899e-14;5.72;6.54e+33;
697;J1418-3921;14:18:50.2;-39:21:18.5;0.911738;-7.392e-16;5.04;2.66e+31;
698;J1418-5945;14:18:32.3;-59:45:00;0.597873;-9.687e-17;9.31;2.29e+30;
699;J1418-6058;14:18:42.7;-60:57:49;9.043798;-1.385e-11;*;4.95e+36;
700;B1417-54;14:20:29.1;-54:16:23;1.068636;-2.707e-16;4.90;1.14e+31;
701;J1420-5625;14:20:03.0;-56:25:55.0;29.310788;-5.800e-17;1.74;6.71e+31;
702;J1420-6048;14:20:08.2;-60:48:16.4;14.667084;-1.789e-11;7.65;1.04e+37;
703;J1422-6138;14:22:27.0;-61:38:28;2.932828;-8.329e-13;*;9.64e+34;
704;J1423-6953;14:23:26.7;-69:53:42.8;2.999304;-1.306e-14;6.38;1.55e+33;
705;J1424-5556;14:24:12.7;-55:56:13.9;1.298069;-1.315e-15;7.71;6.74e+31;
706;J1424-56;14:24:23;-56:40:47;0.700771;*;1.22;*;
707;J1424-5822;14:24:32.1;-58:22:56.0;2.726772;-2.932e-14;10.19;3.16e+33;
708;J1424-6438;14:24:59.2;-64:38:10.0;0.977036;-2.291e-16;8.31;8.84e+30;
709;J1425-5723;14:25:36.5;-57:23:30.8;2.830753;-1.763e-16;1.46;1.97e+31;
710;J1425-5759;14:25:59.1;-57:59:10.2;1.412694;-1.481e-15;10.81;8.26e+31;
711;J1425-6210;14:25:07.7;-62:10:04.9;1.993103;-1.900e-15;9.98;1.50e+32;
712;J1427-4158;14:27:50.7;-41:58:56.3;1.705072;-1.806e-15;5.89;1.22e+32;
713;B1424-55;14:28:26.2;-55:30:50.2;1.753492;-6.397e-15;2.29;4.43e+32;
714;J1429-5911;14:29:58.6;-59:11:36.6;8.632402;-2.273e-12;*;7.75e+35;
715;J1429-5935;14:29:25.9;-59:35:58.9;1.309046;-7.326e-14;10.62;3.79e+33;
716;B1426-66;14:30:40.8;-66:23:05.0;1.273170;-4.489e-15;1.80;2.26e+32;
717;J1431-4715;14:31:44.6;-47:15:27.5;497.029394;-3.486e-15;2.42;6.84e+34;
718;J1431-5740;14:31:03.4;-57:40:11.6;243.276805;-3.800e-16;4.07;3.65e+33;
719;J1432-5032;14:32:52.2;-50:32:17.3;0.491403;-1.431e-15;5.72;2.78e+31;
720;J1433-6038;14:33:13.1;-60:38:34.7;0.511658;-1.474e-15;9.74;2.98e+31;
721;J1434-6006;14:34:05.3;-60:06:29.0;3.264050;-3.218e-14;7.25;4.15e+33;
722;J1434-6029;14:34:39.1;-60:29:49;1.038046;-1.110e-15;5.78;4.55e+31;
723;J1434+7257;14:33:59.7;+72:57:26.5;23.957175;-3.157e-16;0.75;2.99e+32;
724;J1435-5954;14:35:00.3;-59:54:49.2;2.114185;-6.898e-15;1.46;5.76e+32;
725;J1435-6100;14:35:20.2;-61:00:57.9;106.975072;-2.800e-16;3.25;1.18e+33;
726;J1437-5959;14:37:01.9;-59:59:01.4;16.208474;-2.256e-12;11.12;1.44e+36;
727;J1437-6146;14:37:15.3;-61:46:02.0;2.138505;-2.895e-14;4.77;2.44e+33;
728;J1439-5501;14:39:39.7;-55:01:23.6;34.922434;-1.729e-16;0.76;2.38e+32;
729;J1439+76;14:39;+76:55;1.054960;*;1.78;*;
730;B1436-63;14:40:31.3;-63:44:47.6;2.175780;-5.303e-15;4.03;4.55e+32;
731;J1441-6137;14:41:44.3;-61:37:24;0.850456;-2.604e-16;4.44;8.74e+30;
732;J1443-5122;14:43:26.9;-51:22:26;1.366006;-6.307e-16;3.17;3.40e+31;
733;J1444-5941;14:44:46.5;-59:41:19;0.362289;-1.080e-15;4.38;1.54e+31;
734;J1444-6026;14:44:06.0;-60:26:09.4;0.210147;-8.188e-16;8.78;6.79e+30;
735;J1446-4701;14:46:35.7;-47:01:26.7;455.644016;-2.037e-15;2.03;3.66e+34;
736;J1449-5846;14:49:25.4;-58:46:40.4;2.158291;-4.006e-16;4.74;3.41e+31;
737;J1452-5851;14:52:52.5;-58:51:13.3;2.586485;-3.392e-13;5.64;3.46e+34;
738;J1452-6036;14:52:51.8;-60:36:31.3;6.451973;-6.036e-14;9.44;1.54e+34;
739;J1453+1902;14:53:45.7;+19:02:12.2;172.642910;-3.463e-16;0.95;2.36e+33;
740;B1449-64;14:53:32.7;-64:13:15.5;5.571504;-8.524e-14;2.80;1.87e+34;
741;J1454-5846;14:54:10.9;-58:46:34.7;22.100047;-3.990e-16;3.32;3.48e+32;
742;J1455-3330;14:55:47.9;-33:30:46.3;125.200245;-3.806e-16;0.74;1.88e+33;
743;J1455-59;14:55:06;-59:23;5.675652;*;11.45;*;
744;J1456-48;14:56;*;1.862857;*;6.84;*;
745;B1451-68;14:56:00.1;-68:43:39.2;3.796841;-1.417e-15;0.43;2.12e+32;
746;B1454-51;14:57:40.1;-51:22:53;0.571984;-1.731e-15;1.37;3.91e+31;
747;J1457-5900;14:57:39.0;-59:00:51;0.667273;-1.630e-15;4.25;4.29e+31;
748;J1457-5902;14:57:31.9;-59:02:04;2.559251;-8.060e-14;11.33;8.14e+33;
749;J1459-6053;14:59:29.9;-60:53:20.7;9.694559;-2.375e-12;*;9.09e+35;
750;J1501-0046;15:01:44.9;-00:46:23.5;2.155001;-1.110e-15;2.37;9.45e+31;
751;J1501-5637;15:01:51.0;-56:37:48;1.277223;-2.773e-16;6.75;1.40e+31;
752;J1502-5653;15:02:57.3;-56:53:39.2;1.867398;-6.377e-15;4.51;4.70e+32;
753;J1502-5828;15:02:43.8;-58:28:42;1.496770;-8.155e-14;12.21;4.82e+33;
754;J1502-6128;15:02:29.8;-61:28:50.3;1.187502;-1.901e-15;7.88;8.91e+31;
755;J1502-6752;15:02:18.6;-67:52:16.7;37.390972;-4.397e-16;11.57;6.49e+32;
756;J1503+2111;15:03:54.6;+21:11:09.3;0.301750;-1.275e-17;0.72;1.52e+29;
757;J1504-5621;15:04:49.1;-56:21:32;2.421394;-3.242e-14;3.93;3.10e+33;
758;B1503-51;15:06:39.5;-51:58:10;1.189430;-9.012e-15;1.67;4.23e+32;
759;B1504-43;15:07:34.1;-43:52:03.2;3.487273;-1.951e-14;1.79;2.69e+33;
760;B1503-66;15:07:48.6;-66:40:57.1;2.811714;-9.147e-15;5.62;1.02e+33;
761;B1508+55;15:09:25.6;+55:31:32.3;1.351932;-9.135e-15;2.10;4.88e+32;
762;J1509-5850;15:09:27.1;-58:50:56.1;11.245841;-1.160e-12;3.85;5.15e+35;
763;J1509-6015;15:09:07.5;-60:15:18.6;2.949518;-1.845e-14;13.63;2.15e+33;
764;B1507-44;15:10:48.9;-44:22:07;1.059466;-6.847e-16;4.22;2.86e+31;
765;J1511-5414;15:11:51.3;-54:14:40.3;4.990426;-1.207e-14;2.24;2.38e+33;
766;J1511-5835;15:11:07.0;-58:35:28;3.316634;-3.784e-15;7.10;4.95e+32;
767;J1512-5431;15:12:05.7;-54:31:19;0.490068;-4.611e-16;6.61;8.92e+30;
768;B1508-57;15:12:43.0;-57:59:59.8;7.770361;-4.137e-13;12.70;1.27e+35;
769;J1513-5739;15:13:58.9;-57:39:01.4;1.027266;-2.907e-14;9.84;1.18e+33;
770;B1509-58;15:13:55.6;-59:08:09.0;6.611515;-6.694e-11;4.40;1.75e+37;
771;J1513-5946;15:13:44.7;-59:46:31.9;0.955916;-7.793e-15;4.26;2.94e+32;
772;B1510-48;15:14:14.5;-48:34:19.5;2.198579;-4.471e-15;1.59;3.88e+32;
773;J1514-4946;15:14:19.1;-49:46:15.5;278.603009;-1.447e-15;1.27;1.59e+34;
774;J1514-5925;15:14:59.1;-59:25:43.3;6.720589;-1.302e-13;4.50;3.45e+34;
775;J1515-5720;15:15:09.3;-57:20:49;3.488621;-7.422e-14;10.32;1.02e+34;
776;J1517-4356;15:17:27.3;-43:56:17.9;1.536483;-5.087e-16;4.44;3.09e+31;
777;J1517-4636;15:17:29.3;-46:36:00.6;1.127888;-2.669e-15;10.98;1.19e+32;
778;B1516+02A;15:18:33.3;+02:05:27.5;180.063625;-1.336e-15;8.00;9.50e+33;
779;B1516+02B;15:18:31.4;+02:05:15.4;125.834588;5.273e-17;8.00;*;
780;J1518+0204C;15:18:32.7;+02:04:47.8;402.588228;-4.225e-15;8.00;6.72e+34;
781;J1518+0204D;15:18:34;+02:04:58;334.672021;*;8.00;*;
782;J1518+0204E;15:18:34;+02:04:58;314.267756;*;8.00;*;
783;J1518-0627;15:18:59.1;-06:27:07.7;1.257867;-6.612e-16;2.69;3.28e+31;
784;J1518+4904;15:18:16.7;+49:04:34.2;24.428979;-1.623e-17;0.70;1.56e+31;
785;J1518-5415;15:18:13.5;-54:15:45.0;4.652790;-8.789e-16;4.26;1.61e+32;
786;J1519-5734;15:19:47.5;-57:34:13.6;1.927682;-1.588e-14;13.12;1.21e+33;
787;J1519-6106;15:19:35.8;-61:06:54.6;0.464186;-1.804e-15;7.23;3.31e+31;
788;J1519-6308;15:19:09.5;-63:08:19.5;0.797415;-3.790e-15;17.81;1.19e+32;
789;J1522-5525;15:22:06.7;-55:25:17.5;0.719629;-1.709e-15;1.89;4.86e+31;
790;J1522-5735;15:22:05.3;-57:35:00;9.790869;-2.995e-12;*;1.16e+36;
791;B1518-58;15:22:42.2;-58:29:02.7;2.529386;-1.282e-14;4.47;1.28e+33;
792;J1524-5625;15:24:49.8;-56:25:23.4;12.784691;-6.366e-12;3.84;3.21e+36;
793;J1524-5706;15:24:21.4;-57:06:35;0.896018;-2.862e-13;21.59;1.01e+34;
794;J1524-5819;15:24:24.6;-58:19:14.1;1.040537;-1.364e-13;10.87;5.60e+33;
795;J1525-5417;15:25:28.3;-54:17:20;0.988441;-1.580e-14;6.01;6.17e+32;
796;J1525-5523;15:25:36.0;-55:23:27.2;2.815664;-7.103e-17;3.50;7.90e+30;
797;J1525-5545;15:25:28.1;-55:45:49.8;88.029085;-1.018e-15;3.53;3.54e+33;
798;J1525-5605;15:25:41.4;-56:05:13;3.566987;-1.476e-15;6.77;2.08e+32;
799;J1526-5633;15:26:41.2;-56:33:43;3.312488;-1.350e-15;6.44;1.76e+32;
800;B1524-39;15:27:58.9;-39:31:35;0.413636;-3.263e-15;2.01;5.33e+31;
801;B1523-55;15:27:40.9;-55:52:07;0.953557;-1.026e-14;7.15;3.86e+32;
802;J1528-3146;15:28:34.9;-31:46:06.8;16.441357;-6.731e-17;0.99;4.37e+31;
803;J1528-4109;15:28:08.0;-41:09:28.8;1.899133;-1.426e-15;5.96;1.07e+32;
804;J1528-5547;15:28:39.1;-55:47:23;0.288409;-6.446e-16;5.55;7.34e+30;
805;J1529-3828;15:29:15.1;-38:28:45.8;117.837233;-3.750e-16;4.85;1.74e+33;
806;J1529-5355;15:29:57.6;-53:55:36;1.122001;-1.020e-15;7.75;4.52e+31;
807;J1529-5611;15:29:35.8;-56:11:29;1.216177;-6.064e-15;3.77;2.91e+32;
808;J1530-5327;15:30:26.8;-53:27:56.3;3.584785;-6.018e-14;1.46;8.52e+33;
809;J1530-63;15:30:52;-63:43:33;1.098539;*;13.60;*;
810;J1531-4012;15:31:08.0;-40:12:30.9;2.802303;-7.562e-16;7.75;8.37e+31;
811;J1531-5610;15:31:27.9;-56:10:55.0;11.876247;-1.938e-12;3.10;9.09e+35;
812;B1530+27;15:32:10.3;+27:45:49.4;0.889019;-6.161e-16;0.98;2.16e+31;
813;J1532-5308;15:32:35.5;-53:08:06;2.253142;-3.300e-16;4.45;2.94e+31;
814;J1532-56;15:32:18;-56:32;1.912130;*;5.69;*;
815;J1534-4428;15:34:52.0;-44:28:09.4;0.818715;-1.207e-16;10.94;3.90e+30;
816;J1534-46;15:34:08;-46:14;2.740965;*;1.91;*;
817;B1530-53;15:34:08.3;-53:34:19.3;0.730524;-7.610e-16;1.13;2.19e+31;
818;B1530-539;15:34:33.5;-54:05:39.7;3.451979;-1.839e-14;4.26;2.51e+33;
819;J1535-4114;15:35:17.0;-41:14:03.1;2.310183;-2.172e-14;2.80;1.98e+33;
820;J1535-4415;15:35:55.9;-44:15:08.4;2.134920;-1.846e-16;5.38;1.56e+31;
821;J1535-5450;15:35:58.2;-54:50:26;1.764496;-4.464e-14;4.63;3.11e+33;
822;J1535-5848;15:35:16.7;-58:48:27.7;3.255445;-2.878e-14;3.13;3.70e+33;
823;J1536-3602;15:36:17.3;-36:02:58.8;0.757714;-4.536e-16;6.45;1.36e+31;
824;J1536-4948;15:36;-49:48;324.675325;*;1.34;*;
825;J1536-5433;15:36:04.8;-54:33:15;1.134509;-2.460e-15;3.72;1.10e+32;
826;J1536-5907;15:36:17.7;-59:07:03.6;1.792627;-4.390e-15;12.09;3.11e+32;
827;B1534+12;15:37:09.9;+11:55:55.4;26.382133;-1.686e-15;1.05;1.76e+33;
828;J1537-4912;15:37:28.2;-49:12:03;3.318833;-2.128e-14;1.82;2.79e+33;
829;J1537-5153;15:37:15.7;-51:53:06;0.654397;-1.787e-15;2.63;4.62e+31;
830;J1537-5645;15:37:51.0;-56:45:04;2.323074;-1.500e-14;24.59;1.38e+33;
831;J1538+2345;15:38:06.0;+23:45:04.0;0.289907;-5.790e-16;0.98;6.63e+30;
832;J1538-5438;15:38:48.9;-54:38:17;3.613681;-1.860e-14;3.60;2.65e+33;
833;J1538-5519;15:38:40.8;-55:19:46;2.526971;-2.618e-16;9.70;2.61e+31;
834;J1538-5551;15:38:45.0;-55:51:36.9;9.553387;-2.928e-13;10.40;1.10e+35;
835;J1538-5621;15:38:43.2;-56:21:55.5;0.523973;-2.007e-15;3.76;4.15e+31;
836;J1538-5638;15:38:05.7;-56:38:12;1.184862;-9.996e-15;12.94;4.68e+32;
837;J1538-5732;15:38:18.1;-57:32:29.3;2.930722;-3.908e-14;3.88;4.52e+33;
838;J1538-5750;15:38:08.4;-57:50:17.1;1.974067;-1.637e-16;2.41;1.28e+31;
839;J1539-4828;15:39:40.8;-48:28:57;0.785644;-7.820e-16;3.74;2.43e+31;
840;J1539-5521;15:39:07.9;-55:21:11.2;0.995066;-7.208e-16;6.84;2.83e+31;
841;B1535-56;15:39:13.9;-56:26:25.4;4.108595;-8.186e-14;4.00;1.33e+34;
842;J1539-6322;15:39:24.7;-63:22:53.2;0.613179;-7.580e-17;7.75;1.83e+30;
843;J1540-5736;15:40:59.0;-57:36:57;1.631544;-1.120e-15;8.17;7.21e+31;
844;J1541-42;15:41:55;-42:18:50;*;*;2.07;*;
845;J1541-5535;15:41:49.6;-55:35:01;3.380233;-8.572e-13;7.46;1.14e+35;
846;J1542-5034;15:42:45.4;-50:34:01.4;1.668766;-1.105e-14;2.58;7.28e+32;
847;J1542-5133;15:42:19.9;-51:33:35;0.560581;-1.850e-16;4.87;4.09e+30;
848;J1542-5303;15:42:54.5;-53:03:41;0.828111;-5.335e-14;6.02;1.74e+33;
849;B1540-06;15:43:30.1;-06:20:45.2;1.410310;-1.749e-15;1.27;9.74e+31;
850;B1541+09;15:43:38.8;+09:29:16.3;1.336097;-7.720e-16;5.90;4.07e+31;
851;J1543-5013;15:43:58.2;-50:13:58;1.552180;-2.441e-14;6.76;1.50e+33;
852;J1543-5149;15:43:44.1;-51:49:54.6;486.154232;-3.819e-15;1.46;7.33e+34;
853;J1543-5459;15:43:56.2;-54:59:13.7;2.651686;-3.658e-13;6.32;3.83e+34;
854;J1544+4937;15:44:04.4;+49:37:55.2;463.115536;-6.290e-16;2.30;1.15e+34;
855;B1541-52;15:44:59.8;-53:08:46.5;5.600553;-1.904e-15;1.29;4.21e+32;
856;J1545-4550;15:45:55.9;-45:50:37.5;279.697699;-4.107e-15;2.01;4.54e+34;
857;J1546-3747A;15:46:03.4;-37:47:10.1;383.778121;*;7.66;*;
858;J1546-5302;15:46:07.4;-53:02:23.0;1.721645;-3.498e-14;6.10;2.38e+33;
859;J1546-59;15:46;-59;128.205128;*;4.67;*;
860;J1547-0944;15:47:46.0;-09:44:07.8;0.634146;-1.181e-15;3.18;2.96e+31;
861;J1547-5750;15:47:30.6;-57:50:29.4;1.545123;-6.100e-17;3.91;3.72e+30;
862;J1547-5839;15:47:34.9;-58:39:09.8;4.128984;-1.013e-14;7.19;1.65e+33;
863;J1548-4821;15:48:23.2;-48:21:49.7;6.865552;-3.771e-17;3.76;1.02e+31;
864;J1548-4927;15:48:19.4;-49:27:40.4;1.659095;-1.114e-14;3.89;7.30e+32;
865;J1548-5607;15:48:44.0;-56:07:33.9;5.850211;-3.674e-13;6.95;8.49e+34;
866;J1549+2113;15:49:40.9;+21:13:26.9;0.792097;-5.359e-16;2.33;1.68e+31;
867;J1549-4848;15:49:21.1;-48:48:37.4;3.468047;-1.697e-13;1.54;2.32e+34;
868;J1549-57;15:49:05;-57:21:37;1.355932;*;0.91;*;
869;J1549-5722;15:49:47.9;-57:22:02;2.008950;-1.897e-16;2.93;1.50e+31;
870;J1550-5242;15:50:02.9;-52:42:07.0;1.333940;-3.163e-14;6.67;1.67e+33;
871;J1550-5317;15:50:04.8;-53:17:21;0.703668;-4.630e-16;8.45;1.29e+31;
872;J1550-5418;15:50:54.1;-54:18:24.1;0.483131;-5.411e-12;4.00;1.03e+35;
873;J1551-0658;15:51:07.2;-06:58:06.5;141.043724;*;1.46;*;
874;J1551-4424;15:51:48.0;-44:24:42;1.483547;-4.138e-16;1.98;2.42e+31;
875;J1551-5310;15:51:41.2;-53:10:59.6;2.205586;-9.492e-13;7.52;8.27e+34;
876;J1552-4937;15:52:13.2;-49:37:49.7;159.126424;-4.811e-16;3.36;3.02e+33;
877;J1552-62;15:52:38;-62:14:31;5.030181;*;4.30;*;
878;B1550-54;15:53:59.6;-54:56:06;0.924789;-1.338e-14;4.80;4.89e+32;
879;J1554-5209;15:54:27.1;-52:09:38.3;7.985335;-1.463e-13;3.44;4.61e+34;
880;J1554-5512;15:54:40.5;-55:12:33;0.292565;-2.671e-15;8.05;3.08e+31;
881;J1555-0515;15:55:40.0;-05:15:57.4;1.025210;-2.159e-15;1.66;8.74e+31;
882;B1552-23;15:55:33.1;-23:41:09.9;1.877660;-2.446e-15;4.61;1.81e+32;
883;B1552-31;15:55:17.9;-31:34:20.1;1.930093;-2.318e-16;6.10;1.77e+31;
884;J1556-5358;15:56:51.5;-53:58:55;1.005348;-1.053e-14;6.96;4.18e+32;
885;J1557-4258;15:57:00.2;-42:58:12.6;3.037788;-3.046e-15;7.53;3.65e+32;
